0,1,2,layer
542,400714.28133333294,2384419.8731666673,0
543,399874.1841111107,2383772.0787222227,0
544,400714.28133333294,2383772.0787222227,0
545,398614.0382777773,2382800.387055556,0
546,399874.1841111107,2383124.284277778,0
547,400714.28133333294,2383124.284277778,0
548,399874.1841111107,2382476.4898333335,0
549,400714.28133333294,2382476.4898333335,0
550,401554.3785555551,2384419.8731666673,0
551,402394.4757777773,2384419.8731666673,0
552,401554.3785555551,2383772.0787222227,0
553,402394.4757777773,2383772.0787222227,0
554,403234.57299999957,2384419.8731666673,0
555,404074.6702222218,2384419.8731666673,0
556,403234.57299999957,2383772.0787222227,0
557,404074.6702222218,2383772.0787222227,0
558,401554.3785555551,2383124.284277778,0
559,402394.4757777773,2383124.284277778,0
560,401554.3785555551,2382476.4898333335,0
561,402394.4757777773,2382476.4898333335,0
562,403234.57299999957,2383124.284277778,0
563,404074.6702222218,2383124.284277778,0
564,403234.57299999957,2382476.4898333335,0
565,404074.6702222218,2382476.4898333335,0
566,404914.7674444439,2384419.8731666673,0
567,405754.86466666614,2384419.8731666673,0
568,404914.7674444439,2383772.0787222227,0
569,405754.86466666614,2383772.0787222227,0
570,406594.9618888884,2384419.8731666673,0
571,407435.05911111063,2384419.8731666673,0
572,406594.9618888884,2383772.0787222227,0
573,407435.05911111063,2383772.0787222227,0
574,404914.7674444439,2383124.284277778,0
575,405754.86466666614,2383124.284277778,0
576,404914.7674444439,2382476.4898333335,0
577,405754.86466666614,2382476.4898333335,0
578,406594.9618888884,2383124.284277778,0
579,407435.05911111063,2383124.284277778,0
580,406594.9618888884,2382476.4898333335,0
581,407435.05911111063,2382476.4898333335,0
582,408275.15633333276,2384419.8731666673,0
583,409115.253555555,2384419.8731666673,0
584,408275.15633333276,2383772.0787222227,0
585,409115.253555555,2383772.0787222227,0
586,409955.35077777726,2384419.8731666673,0
587,410795.4479999995,2384419.8731666673,0
588,409955.35077777726,2383772.0787222227,0
589,410795.4479999995,2383772.0787222227,0
590,408275.15633333276,2383124.284277778,0
591,409115.253555555,2383124.284277778,0
592,408275.15633333276,2382476.4898333335,0
593,409115.253555555,2382476.4898333335,0
594,409955.35077777726,2383124.284277778,0
595,410795.4479999995,2383124.284277778,0
596,409955.35077777726,2382476.4898333335,0
597,410795.4479999995,2382476.4898333335,0
598,411635.54522222164,2384419.8731666673,0
599,412475.6424444439,2384419.8731666673,0
600,411635.54522222164,2383772.0787222227,0
601,412475.6424444439,2383772.0787222227,0
602,413315.73966666614,2384419.8731666673,0
603,414155.8368888884,2384419.8731666673,0
604,413315.73966666614,2383772.0787222227,0
605,414155.8368888884,2383772.0787222227,0
606,411635.54522222164,2383124.284277778,0
607,412475.6424444439,2383124.284277778,0
608,411635.54522222164,2382476.4898333335,0
609,412475.6424444439,2382476.4898333335,0
610,413315.73966666614,2383124.284277778,0
611,414155.8368888884,2383124.284277778,0
612,413315.73966666614,2382476.4898333335,0
613,414155.8368888884,2382476.4898333335,0
614,414995.9341111105,2383772.0787222227,0
615,415836.03133333276,2383772.0787222227,0
616,414995.9341111105,2383124.284277778,0
617,415836.03133333276,2383124.284277778,0
618,414995.9341111105,2382476.4898333335,0
619,415836.03133333276,2382476.4898333335,0
620,416676.128555555,2383124.284277778,0
621,417516.22577777726,2383124.284277778,0
622,416676.128555555,2382476.4898333335,0
623,417516.22577777726,2382476.4898333335,0
624,418356.3229999994,2382476.4898333335,0
625,419196.42022222164,2382476.4898333335,0
